Year,sum,mean,Change_Rate,Max_Daily,Min_Daily
2006,81288.0,677.4,,4306.0,0
2007,43923.0,366.025,-45.9661942722173,2107.0,0
2008,45527.0,379.39166666666665,3.6518452746852503,2335.0,0
2009,43982.0,366.51666666666665,-3.393590616557207,1955.0,0
2010,30988.0,258.23333333333335,-29.543904324496385,995.0,0
2011,42542.0,354.51666666666665,37.2854008003098,2008.0,0
2012,44960.0,374.6666666666667,5.6837948380424,1556.0,0
2013,57317.0,477.64166666666665,27.4844306049822,2624.0,0
2014,53273.0,443.94166666666666,-7.055498368721325,1467.0,0
2015,46092.0,384.1,-13.479623824451414,1976.0,0
2016,72181.0,601.5083333333333,56.6020133645752,3334.0,0
2017,48742.0,406.18333333333334,-32.47253432343692,1889.0,0
2018,52054.0,433.78333333333336,6.79496122440606,2235.0,0
2019,82586.0,688.2166666666667,58.65447419986938,3930.0,0
2020,62290.0,519.0833333333334,-24.57559392633134,2525.0,0
2021,43714.0,364.28333333333336,-29.821801252207415,1405.0,0
2022,81663.0,680.525,86.81200530722424,4196.0,0
2023,28050.0,233.75,-65.65151904779398,1655.0,0
2024,41532.0,346.1,48.06417112299466,1616.0,0
2025,41848.0,348.73333333333335,0.7608590966002193,2143.0,0
2026,50030.0,416.9166666666667,19.551710953928513,1646.0,0
2027,77913.0,649.275,55.73256046372177,2277.0,0
2028,33121.0,276.0083333333333,-57.48976422419878,959.0,0
2029,36309.0,302.575,9.625313245373036,1744.0,0
2030,65248.0,543.7333333333333,79.70200225839324,1998.0,0
2031,55426.0,461.8833333333333,-15.053334968121623,1528.0,0
2032,61540.0,512.8333333333334,11.030924115036257,2672.0,0
2033,60540.0,504.5,-1.6249593760156,2598.0,0
2034,37944.0,316.2,-37.324083250743314,1214.0,0
2035,33194.0,276.6166666666667,-12.51844823951086,980.0,0
2036,50477.0,420.64166666666665,52.06663854913538,1621.0,0
2037,59070.0,492.25,17.02359490461003,2300.0,0
2038,36015.0,300.125,-39.029964448958864,1265.0,0
2039,62665.0,522.2083333333334,73.99694571706235,3589.0,0
2040,47158.0,392.98333333333335,-24.74587090082183,2924.0,0
2041,40641.0,338.675,-13.819500402900886,1633.0,0
2042,43622.0,363.51666666666665,7.334957309121326,1571.0,0
2043,56628.0,471.9,29.815230846820405,2184.0,0
2044,47759.0,397.9916666666667,-15.661863389136121,1600.0,0
2045,47534.0,396.1166666666667,-0.4711153918633082,2083.0,0
2046,55625.0,463.5416666666667,17.021500399713887,2516.0,0
2047,46896.0,390.8,-15.692584269662923,2824.0,0
2048,44571.0,371.425,-4.957778915046063,1669.0,0
2049,61194.0,509.95,37.29555091875882,4034.0,0
2050,42183.0,351.525,-31.066771252083537,1860.0,0
2051,45210.0,376.75,7.175876537941828,1384.0,0
2052,26246.0,218.71666666666667,-41.94647201946472,1285.0,0
2053,46466.0,387.21666666666664,77.04031090451879,1429.0,0
2054,59770.0,498.0833333333333,28.63168768561959,2739.0,0
2055,34893.0,290.775,-41.621214656182026,1149.0,0
2056,58005.0,483.375,66.23678101624968,2354.0,0
2057,50454.0,420.45,-13.017843289371612,1897.0,0
2058,39918.0,332.65,-20.882387917707224,2708.0,0
2059,31747.0,264.55833333333334,-20.469462397915727,1418.0,0
2060,39806.0,331.71666666666664,25.38507575518947,1390.0,0
2061,39665.0,330.5416666666667,-0.35421795709189574,1209.0,0
2062,35839.0,298.65833333333336,-9.645783436278832,1673.0,0
2063,50278.0,418.98333333333335,40.28851251430006,3106.0,0
2064,34726.0,289.3833333333333,-30.932017980031024,1441.0,0
2065,46089.0,384.075,32.72187985947128,2922.0,0
2066,42404.0,353.3666666666667,-7.995400203953218,2338.0,0
2067,49079.0,408.9916666666667,15.741439486840857,3343.0,0
2068,35989.0,299.90833333333336,-26.671285071007965,1514.0,0
2069,32948.0,274.56666666666666,-8.44980410681041,1082.0,0
2070,52696.0,439.1333333333333,59.93687021974019,1466.0,0
2071,62495.0,520.7916666666666,18.59533930469106,3352.0,0
2072,25123.0,209.35833333333332,-59.799983998719895,1070.0,0
2073,52892.0,440.76666666666665,110.53218166620229,1915.0,0
2074,41142.0,342.85,-22.215079785222713,2119.0,0
2075,47501.0,395.84166666666664,15.456224782460737,2352.0,0
2076,20058.0,167.15,-57.77352055746194,596.0,0
2077,40088.0,334.06666666666666,99.86040482600458,1313.0,0
2078,56803.0,473.35833333333335,41.695769307523456,2596.0,0
2079,17686.0,147.38333333333333,-68.86432054645002,991.0,0
2080,46209.0,385.075,161.2744543706887,1575.0,0
2081,68687.0,572.3916666666667,48.644203510138716,2228.0,0
2082,30671.0,255.59166666666667,-55.34671771951024,1734.0,0
2083,58959.0,491.325,92.23044569789052,2712.0,0
2084,37349.0,311.2416666666667,-36.652589087331876,1367.0,0
2085,40230.0,335.25,7.713727275161308,1170.0,0
2086,33052.0,275.43333333333334,-17.842406164553815,1097.0,0
2087,28312.0,235.93333333333334,-14.341038363790393,1118.0,0
2088,38038.0,316.98333333333335,34.35292455495902,1399.0,0
2089,57926.0,482.71666666666664,52.28455754771544,1915.0,0
2090,41469.0,345.575,-28.410385664468464,1279.0,0
2091,33833.0,281.94166666666666,-18.413754853022734,1602.0,0
2092,68798.0,573.3166666666667,103.34584577187952,2080.0,0
2093,35787.0,298.225,-47.982499491264285,2403.0,0
2094,46286.0,385.71666666666664,29.33746891329254,2929.0,0
2095,42306.0,352.55,-8.598712353627446,1877.0,0
2096,26779.0,223.15833333333333,-36.701649884177186,896.0,0
2097,22879.0,190.65833333333333,-14.563650621755853,654.0,0
