,,Annual_Total,Annual_Total,Annual_Mean,Annual_Mean
,,sum,mean,sum,mean
Region,Year,,,,
P4,2006,8336,694.6666666666666,521.0,43.416666666666664
P4,2007,4271,355.9166666666667,266.9375,22.244791666666668
P4,2008,4666,388.8333333333333,291.625,24.302083333333332
P4,2009,4829,402.4166666666667,301.8125,25.151041666666668
P4,2010,3369,280.75,210.5625,17.546875
P4,2011,4299,358.25,268.6875,22.390625
P4,2012,4827,402.25,301.6875,25.140625
P4,2013,5669,472.4166666666667,354.3125,29.526041666666668
P4,2014,5513,459.4166666666667,344.5625,28.713541666666668
P4,2015,5046,420.5,315.375,26.28125
P4,2016,7731,644.25,483.1875,40.265625
P4,2017,5241,436.75,327.5625,27.296875
P4,2018,5414,451.1666666666667,338.375,28.197916666666668
P4,2019,8536,711.3333333333334,533.5,44.458333333333336
P4,2020,6372,531.0,398.25,33.1875
P4,2021,4733,394.4166666666667,295.8125,24.651041666666668
P4,2022,8748,729.0,546.75,45.5625
P4,2023,3000,250.0,187.5,15.625
P4,2024,4614,384.5,288.375,24.03125
P4,2025,4710,392.5,294.375,24.53125
P4,2026,5117,426.4166666666667,319.8125,26.651041666666668
P4,2027,7900,658.3333333333334,493.75,41.145833333333336
P4,2028,3234,269.5,202.125,16.84375
P4,2029,3788,315.6666666666667,236.75,19.729166666666668
P4,2030,7109,592.4166666666666,444.3125,37.026041666666664
P4,2031,5563,463.5833333333333,347.6875,28.973958333333332
P4,2032,6347,528.9166666666666,396.6875,33.057291666666664
P4,2033,6764,563.6666666666666,422.75,35.229166666666664
P4,2034,3934,327.8333333333333,245.875,20.489583333333332
P4,2035,3758,313.1666666666667,234.875,19.572916666666668
P4,2036,5321,443.4166666666667,332.5625,27.713541666666668
P4,2037,6137,511.4166666666667,383.5625,31.963541666666668
P4,2038,3636,303.0,227.25,18.9375
P4,2039,6760,563.3333333333334,422.5,35.208333333333336
P4,2040,4872,406.0,304.5,25.375
P4,2041,4549,379.0833333333333,284.3125,23.692708333333332
P4,2042,4572,381.0,285.75,23.8125
P4,2043,5679,473.25,354.9375,29.578125
P4,2044,5192,432.6666666666667,324.5,27.041666666666668
P4,2045,5206,433.8333333333333,325.375,27.114583333333332
P4,2046,5898,491.5,368.625,30.71875
P4,2047,4615,384.5833333333333,288.4375,24.036458333333332
P4,2048,4590,382.5,286.875,23.90625
P4,2049,6551,545.9166666666666,409.4375,34.119791666666664
P4,2050,4100,341.6666666666667,256.25,21.354166666666668
P4,2051,4881,406.75,305.0625,25.421875
P4,2052,2472,206.0,154.5,12.875
P4,2053,5027,418.9166666666667,314.1875,26.182291666666668
P4,2054,6059,504.9166666666667,378.6875,31.557291666666668
P4,2055,3920,326.6666666666667,245.0,20.416666666666668
P4,2056,6511,542.5833333333334,406.9375,33.911458333333336
P4,2057,5407,450.5833333333333,337.9375,28.161458333333332
P4,2058,4105,342.0833333333333,256.5625,21.380208333333332
P4,2059,3128,260.6666666666667,195.5,16.291666666666668
P4,2060,4265,355.4166666666667,266.5625,22.213541666666668
P4,2061,3969,330.75,248.0625,20.671875
P4,2062,3677,306.4166666666667,229.8125,19.151041666666668
P4,2063,5763,480.25,360.1875,30.015625
P4,2064,3616,301.3333333333333,226.0,18.833333333333332
P4,2065,4677,389.75,292.3125,24.359375
P4,2066,4309,359.0833333333333,269.3125,22.442708333333332
P4,2067,5089,424.0833333333333,318.0625,26.505208333333332
P4,2068,3699,308.25,231.1875,19.265625
P4,2069,3480,290.0,217.5,18.125
P4,2070,5402,450.1666666666667,337.625,28.135416666666668
P4,2071,6889,574.0833333333334,430.5625,35.880208333333336
P4,2072,2619,218.25,163.6875,13.640625
P4,2073,5622,468.5,351.375,29.28125
P4,2074,4436,369.6666666666667,277.25,23.104166666666668
P4,2075,5527,460.5833333333333,345.4375,28.786458333333332
P4,2076,2225,185.41666666666666,139.0625,11.588541666666666
P4,2077,4007,333.9166666666667,250.4375,20.869791666666668
P4,2078,5683,473.5833333333333,355.1875,29.598958333333332
P4,2079,1608,134.0,100.5,8.375
P4,2080,4774,397.8333333333333,298.375,24.864583333333332
P4,2081,7411,617.5833333333334,463.1875,38.598958333333336
P4,2082,2999,249.91666666666666,187.4375,15.619791666666666
P4,2083,6530,544.1666666666666,408.125,34.010416666666664
P4,2084,3833,319.4166666666667,239.5625,19.963541666666668
P4,2085,4190,349.1666666666667,261.875,21.822916666666668
P4,2086,3668,305.6666666666667,229.25,19.104166666666668
P4,2087,2735,227.91666666666666,170.9375,14.244791666666666
P4,2088,3690,307.5,230.625,19.21875
P4,2089,6228,519.0,389.25,32.4375
P4,2090,4401,366.75,275.0625,22.921875
P4,2091,3724,310.3333333333333,232.75,19.395833333333332
P4,2092,7063,588.5833333333334,441.4375,36.786458333333336
P4,2093,3562,296.8333333333333,222.625,18.552083333333332
P4,2094,4817,401.4166666666667,301.0625,25.088541666666668
P4,2095,4423,368.5833333333333,276.4375,23.036458333333332
P4,2096,2961,246.75,185.0625,15.421875
P4,2097,2201,183.41666666666666,137.5625,11.463541666666666
P4,2098,2657,221.41666666666666,166.0625,13.838541666666666
P4,2099,4781,398.4166666666667,298.8125,24.901041666666668
P4,2100,5466,455.5,341.625,28.46875
P5,2006,8811,734.25,550.6875,45.890625
P5,2007,4902,408.5,306.375,25.53125
P5,2008,4860,405.0,303.75,25.3125
P5,2009,4590,382.5,286.875,23.90625
P5,2010,3138,261.5,196.125,16.34375
P5,2011,4499,374.9166666666667,281.1875,23.432291666666668
P5,2012,4827,402.25,301.6875,25.140625
P5,2013,6208,517.3333333333334,388.0,32.333333333333336
P5,2014,5613,467.75,350.8125,29.234375
P5,2015,4584,382.0,286.5,23.875
P5,2016,7510,625.8333333333334,469.375,39.114583333333336
P5,2017,5189,432.4166666666667,324.3125,27.026041666666668
P5,2018,5630,469.1666666666667,351.875,29.322916666666668
P5,2019,9068,755.6666666666666,566.75,47.229166666666664
P5,2020,6892,574.3333333333334,430.75,35.895833333333336
P5,2021,4474,372.8333333333333,279.625,23.302083333333332
P5,2022,9184,765.3333333333334,574.0,47.833333333333336
P5,2023,3099,258.25,193.6875,16.140625
P5,2024,4619,384.9166666666667,288.6875,24.057291666666668
P5,2025,4129,344.0833333333333,258.0625,21.505208333333332
P5,2026,5540,461.6666666666667,346.25,28.854166666666668
P5,2027,8814,734.5,550.875,45.90625
P5,2028,3112,259.3333333333333,194.5,16.208333333333332
P5,2029,4129,344.0833333333333,258.0625,21.505208333333332
P5,2030,7327,610.5833333333334,457.9375,38.161458333333336
P5,2031,5579,464.9166666666667,348.6875,29.057291666666668
P5,2032,6485,540.4166666666666,405.3125,33.776041666666664
P5,2033,6742,561.8333333333334,421.375,35.114583333333336
P5,2034,4250,354.1666666666667,265.625,22.135416666666668
P5,2035,3600,300.0,225.0,18.75
P5,2036,5023,418.5833333333333,313.9375,26.161458333333332
P5,2037,6339,528.25,396.1875,33.015625
P5,2038,3722,310.1666666666667,232.625,19.385416666666668
P5,2039,6464,538.6666666666666,404.0,33.666666666666664
P5,2040,5058,421.5,316.125,26.34375
P5,2041,4378,364.8333333333333,273.625,22.802083333333332
P5,2042,4602,383.5,287.625,23.96875
P5,2043,5922,493.5,370.125,30.84375
P5,2044,5128,427.3333333333333,320.5,26.708333333333332
P5,2045,5244,437.0,327.75,27.3125
P5,2046,6087,507.25,380.4375,31.703125
P5,2047,5012,417.6666666666667,313.25,26.104166666666668
P5,2048,5030,419.1666666666667,314.375,26.197916666666668
P5,2049,6384,532.0,399.0,33.25
P5,2050,4272,356.0,267.0,22.25
P5,2051,5255,437.9166666666667,328.4375,27.369791666666668
P5,2052,2764,230.33333333333334,172.75,14.395833333333334
P5,2053,5057,421.4166666666667,316.0625,26.338541666666668
P5,2054,6535,544.5833333333334,408.4375,34.036458333333336
P5,2055,4176,348.0,261.0,21.75
P5,2056,6525,543.75,407.8125,33.984375
P5,2057,5847,487.25,365.4375,30.453125
P5,2058,4377,364.75,273.5625,22.796875
P5,2059,3631,302.5833333333333,226.9375,18.911458333333332
P5,2060,3993,332.75,249.5625,20.796875
P5,2061,4144,345.3333333333333,259.0,21.583333333333332
P5,2062,3859,321.5833333333333,241.1875,20.098958333333332
P5,2063,5569,464.0833333333333,348.0625,29.005208333333332
P5,2064,4044,337.0,252.75,21.0625
P5,2065,5167,430.5833333333333,322.9375,26.911458333333332
P5,2066,4721,393.4166666666667,295.0625,24.588541666666668
P5,2067,5513,459.4166666666667,344.5625,28.713541666666668
P5,2068,3923,326.9166666666667,245.1875,20.432291666666668
P5,2069,3734,311.1666666666667,233.375,19.447916666666668
P5,2070,5560,463.3333333333333,347.5,28.958333333333332
P5,2071,6600,550.0,412.5,34.375
P5,2072,2726,227.16666666666666,170.375,14.197916666666666
P5,2073,5484,457.0,342.75,28.5625
P5,2074,4659,388.25,291.1875,24.265625
P5,2075,5174,431.1666666666667,323.375,26.947916666666668
P5,2076,2217,184.75,138.5625,11.546875
P5,2077,4195,349.5833333333333,262.1875,21.848958333333332
P5,2078,6140,511.6666666666667,383.75,31.979166666666668
P5,2079,2029,169.08333333333334,126.8125,10.567708333333334
P5,2080,5400,450.0,337.5,28.125
P5,2081,7544,628.6666666666666,471.5,39.291666666666664
P5,2082,3302,275.1666666666667,206.375,17.197916666666668
P5,2083,6682,556.8333333333334,417.625,34.802083333333336
P5,2084,3768,314.0,235.5,19.625
P5,2085,4562,380.1666666666667,285.125,23.760416666666668
P5,2086,3601,300.0833333333333,225.0625,18.755208333333332
P5,2087,3431,285.9166666666667,214.4375,17.869791666666668
P5,2088,4465,372.0833333333333,279.0625,23.255208333333332
P5,2089,6254,521.1666666666666,390.875,32.572916666666664
P5,2090,4584,382.0,286.5,23.875
P5,2091,4209,350.75,263.0625,21.921875
P5,2092,7545,628.75,471.5625,39.296875
P5,2093,3783,315.25,236.4375,19.703125
P5,2094,5050,420.8333333333333,315.625,26.302083333333332
P5,2095,4625,385.4166666666667,289.0625,24.088541666666668
P5,2096,2768,230.66666666666666,173.0,14.416666666666666
P5,2097,2345,195.41666666666666,146.5625,12.213541666666666
P5,2098,2907,242.25,181.6875,15.140625
P5,2099,4686,390.5,292.875,24.40625
P5,2100,6113,509.4166666666667,382.0625,31.838541666666668
P6,2006,8997,749.75,562.3125,46.859375
P6,2007,5062,421.8333333333333,316.375,26.364583333333332
P6,2008,5133,427.75,320.8125,26.734375
P6,2009,4506,375.5,281.625,23.46875
P6,2010,3185,265.4166666666667,199.0625,16.588541666666668
P6,2011,4985,415.4166666666667,311.5625,25.963541666666668
P6,2012,4719,393.25,294.9375,24.578125
P6,2013,6464,538.6666666666666,404.0,33.666666666666664
P6,2014,5752,479.3333333333333,359.5,29.958333333333332
P6,2015,5289,440.75,330.5625,27.546875
P6,2016,8209,684.0833333333334,513.0625,42.755208333333336
P6,2017,5670,472.5,354.375,29.53125
P6,2018,5723,476.9166666666667,357.6875,29.807291666666668
P6,2019,9319,776.5833333333334,582.4375,48.536458333333336
P6,2020,7329,610.75,458.0625,38.171875
P6,2021,4983,415.25,311.4375,25.953125
P6,2022,9162,763.5,572.625,47.71875
P6,2023,3122,260.1666666666667,195.125,16.260416666666668
P6,2024,4933,411.0833333333333,308.3125,25.692708333333332
P6,2025,4601,383.4166666666667,287.5625,23.963541666666668
P6,2026,5682,473.5,355.125,29.59375
P6,2027,8800,733.3333333333334,550.0,45.833333333333336
P6,2028,3450,287.5,215.625,17.96875
P6,2029,3929,327.4166666666667,245.5625,20.463541666666668
P6,2030,7266,605.5,454.125,37.84375
P6,2031,6407,533.9166666666666,400.4375,33.369791666666664
P6,2032,7053,587.75,440.8125,36.734375
P6,2033,6652,554.3333333333334,415.75,34.645833333333336
P6,2034,4266,355.5,266.625,22.21875
P6,2035,3765,313.75,235.3125,19.609375
P6,2036,5988,499.0,374.25,31.1875
P6,2037,6610,550.8333333333334,413.125,34.427083333333336
P6,2038,4220,351.6666666666667,263.75,21.979166666666668
P6,2039,6865,572.0833333333334,429.0625,35.755208333333336
P6,2040,5373,447.75,335.8125,27.984375
P6,2041,4588,382.3333333333333,286.75,23.895833333333332
P6,2042,4461,371.75,278.8125,23.234375
P6,2043,6409,534.0833333333334,400.5625,33.380208333333336
P6,2044,5219,434.9166666666667,326.1875,27.182291666666668
P6,2045,5004,417.0,312.75,26.0625
P6,2046,6284,523.6666666666666,392.75,32.729166666666664
P6,2047,5490,457.5,343.125,28.59375
P6,2048,4791,399.25,299.4375,24.953125
P6,2049,6974,581.1666666666666,435.875,36.322916666666664
P6,2050,4595,382.9166666666667,287.1875,23.932291666666668
P6,2051,5108,425.6666666666667,319.25,26.604166666666668
P6,2052,2946,245.5,184.125,15.34375
P6,2053,5225,435.4166666666667,326.5625,27.213541666666668
P6,2054,6566,547.1666666666666,410.375,34.197916666666664
P6,2055,3554,296.1666666666667,222.125,18.510416666666668
P6,2056,6725,560.4166666666666,420.3125,35.026041666666664
P6,2057,5738,478.1666666666667,358.625,29.885416666666668
P6,2058,4395,366.25,274.6875,22.890625
P6,2059,3746,312.1666666666667,234.125,19.510416666666668
P6,2060,4441,370.0833333333333,277.5625,23.130208333333332
P6,2061,4528,377.3333333333333,283.0,23.583333333333332
P6,2062,3874,322.8333333333333,242.125,20.177083333333332
P6,2063,6048,504.0,378.0,31.5
P6,2064,3882,323.5,242.625,20.21875
P6,2065,5226,435.5,326.625,27.21875
P6,2066,4574,381.1666666666667,285.875,23.822916666666668
P6,2067,4954,412.8333333333333,309.625,25.802083333333332
P6,2068,3830,319.1666666666667,239.375,19.947916666666668
P6,2069,3656,304.6666666666667,228.5,19.041666666666668
P6,2070,6081,506.75,380.0625,31.671875
P6,2071,6971,580.9166666666666,435.6875,36.307291666666664
P6,2072,2694,224.5,168.375,14.03125
P6,2073,6272,522.6666666666666,392.0,32.666666666666664
P6,2074,4280,356.6666666666667,267.5,22.291666666666668
P6,2075,5287,440.5833333333333,330.4375,27.536458333333332
P6,2076,2066,172.16666666666666,129.125,10.760416666666666
P6,2077,4455,371.25,278.4375,23.203125
P6,2078,6547,545.5833333333334,409.1875,34.098958333333336
P6,2079,1823,151.91666666666666,113.9375,9.494791666666666
P6,2080,5130,427.5,320.625,26.71875
P6,2081,7336,611.3333333333334,458.5,38.208333333333336
P6,2082,3462,288.5,216.375,18.03125
P6,2083,6393,532.75,399.5625,33.296875
P6,2084,4157,346.4166666666667,259.8125,21.651041666666668
P6,2085,4294,357.8333333333333,268.375,22.364583333333332
P6,2086,3770,314.1666666666667,235.625,19.635416666666668
P6,2087,2984,248.66666666666666,186.5,15.541666666666666
P6,2088,4444,370.3333333333333,277.75,23.145833333333332
P6,2089,6545,545.4166666666666,409.0625,34.088541666666664
P6,2090,4518,376.5,282.375,23.53125
P6,2091,3454,287.8333333333333,215.875,17.989583333333332
P6,2092,7813,651.0833333333334,488.3125,40.692708333333336
P6,2093,3916,326.3333333333333,244.75,20.395833333333332
P6,2094,5226,435.5,326.625,27.21875
P6,2095,4788,399.0,299.25,24.9375
P6,2096,3105,258.75,194.0625,16.171875
P6,2097,2537,211.41666666666666,158.5625,13.213541666666666
P6,2098,2777,231.41666666666666,173.5625,14.463541666666666
P6,2099,5282,440.1666666666667,330.125,27.510416666666668
P6,2100,5712,476.0,357.0,29.75
